Model time; nNonBTLHomeless; nBTLHomeless; nHomeless; nRenting; nNonOwner; nNonBTLOwnerOccupier; nBTLOwnerOccupier; nOwnerOccupier; nActiveBTL; nBTL; nNonBTLBankrupt; nBTLBankrupt; TotalPopulation; HousingStock; nEmptyHouses; BTLStockFraction; Sale HPI; Sale AnnualHPA; Sale AvBidPrice; Sale AvOfferPrice; Sale AvSalePrice; Sale AvMonthsOnMarket; Sale nBuyers; Sale nBTLBuyers; Sale nSellers; Sale nNewSellers; Sale nBTLSellers; Sale nSales; Sale nNonBTLBidsAboveExpAvSalePrice; Sale nBTLBidsAboveExpAvSalePrice; Sale nSalesToBTL; Sale nSalesToFTB; Rental HPI; Rental AnnualHPA; Rental AvBidPrice; Rental AvOfferPrice; Rental AvSalePrice; Rental AvMonthsOnMarket; Rental nBuyers; Rental nSellers; Rental nSales; Rental ExpAvFlowYield; nStockMortgages; nNewFTBMortgages; nNewFTBMortgagesToBTL; nNewHMMortgages; nNewBTLMortgages; newFTBCredit; newHMCredit; newBTLCredit; newTotalCredit; creditStock; interestRate
0; 1898; 271; 2169; 1197; 3366; 5357; 677; 6034; 616; 1564; 0; 0; 10016; 8556; 709; 0.2228; 0.9931; -2.3100e-03; 285931.35; 358953.60; 278018.21; 0.0000; 1807; 594; 2402; 2402; 4; 1225; 2420; 500; 332; 893; 1.0195; 6.5064e-03; 627.61; 1055.88; 563.05; 0.0000; 3027; 1906; 1197; 0.0475; 719; 442; 284; 0; 277; 58368100.39; 0.00; 76695084.45; 135063184.85; 135063184.85; 0.035000
1; 1904; 265; 2169; 1157; 3326; 5391; 686; 6077; 616; 1567; 0; 6; 10019; 8556; 706; 0.2177; 1.0040; -9.6126e-04; 40189.12; 438113.61; 176692.19; 0.7846; 629; 265; 1220; 47; 5; 65; 927; 197; 4; 50; 0.9287; -1.7272e-02; 623.39; 1862.37; 597.42; 0.2500; 1816; 718; 12; 0.0452; 729; 8; 5; 0; 2; 602432.34; 0.00; 67304.92; 669737.27; 135479606.01; 0.211107
2; 1906; 261; 2167; 1127; 3294; 5425; 688; 6113; 616; 1565; 0; 6; 10023; 8556; 700; 0.2135; 0.9496; -1.7755e-02; 53432.80; 448337.86; 218296.53; 1.5167; 658; 268; 1191; 38; 5; 60; 981; 306; 9; 45; 0.9781; -2.4588e-02; 619.07; 1848.85; 514.29; 0.5000; 1793; 716; 16; 0.0432; 766; 32; 3; 2; 5; 2694348.28; 137935.68; 1601199.73; 4433483.69; 139586544.99; 0.032703
3; 1908; 262; 2170; 1117; 3287; 5433; 691; 6124; 615; 1568; 0; 6; 10026; 8556; 700; 0.2124; 0.9641; -2.7400e-02; 43050.13; 457712.82; 218965.26; 1.8788; 612; 260; 1168; 41; 6; 33; 964; 396; 4; 24; 0.9016; -6.3881e-02; 617.15; 1843.57; 585.00; 0.8000; 1832; 715; 15; 0.0413; 786; 17; 2; 1; 2; 1602184.06; 174878.76; 505245.17; 2282307.99; 141608312.52; 0.037697
4; 1905; 258; 2163; 1107; 3270; 5446; 691; 6137; 617; 1566; 0; 6; 10024; 8556; 695; 0.2106; 0.9582; -4.2673e-02; 44807.15; 460879.73; 216737.00; 3.0606; 594; 260; 1165; 30; 10; 33; 963; 496; 5; 18; 0.9110; -6.9766e-02; 616.18; 1837.44; 596.61; 0.8571; 1846; 709; 14; 0.0397; 805; 12; 4; 3; 4; 1266091.09; 114057.12; 954109.77; 2334257.98; 143677234.91; 0.034843
5; 1906; 256; 2162; 1105; 3267; 5445; 693; 6138; 616; 1565; 0; 6; 10021; 8556; 697; 0.2106; 1.0459; -1.0576e-02; 33224.40; 466162.75; 148571.40; 2.2500; 559; 253; 1161; 29; 13; 12; 953; 558; 0; 9; 0.8921; -9.8423e-02; 614.22; 1833.85; 627.44; 1.6667; 1868; 706; 9; 0.0380; 808; 2; 1; 1; 0; 185865.65; 3043.34; 0.00; 188908.98; 143595249.14; 0.034912
6; 1910; 254; 2164; 1094; 3258; 5455; 695; 6150; 615; 1564; 0; 6; 10023; 8556; 697; 0.2093; 0.9778; -6.0085e-03; 37555.02; 465795.16; 178528.05; 4.3333; 586; 254; 1181; 33; 15; 18; 919; 592; 0; 11; 0.8745; -1.0748e-01; 614.70; 1827.53; 560.63; 1.2000; 1839; 702; 5; 0.0365; 816; 7; 2; 2; 0; 699675.56; 56233.83; 0.00; 755909.39; 144058835.64; 0.032065
7; 1910; 253; 2163; 1097; 3260; 5457; 695; 6152; 614; 1562; 0; 6; 10026; 8556; 693; 0.2092; 0.9668; -3.1386e-03; 37718.64; 464899.19; 167947.92; 3.3529; 578; 255; 1201; 39; 16; 17; 936; 640; 2; 14; 0.8256; -1.3596e-01; 613.26; 1809.60; 599.83; 2.5455; 1851; 704; 11; 0.0351; 825; 9; 1; 0; 1; 946530.52; 0.00; 191212.07; 1137742.59; 144878757.18; 0.032817
8; 1909; 253; 2162; 1094; 3256; 5463; 694; 6157; 614; 1561; 0; 6; 10027; 8556; 691; 0.2086; 0.9262; -4.3058e-02; 37145.29; 465443.70; 191165.23; 5.1429; 573; 251; 1216; 33; 17; 14; 942; 677; 1; 10; 0.7906; -1.6981e-01; 612.50; 1793.39; 493.01; 2.0000; 1852; 703; 12; 0.0338; 831; 5; 0; 0; 1; 697130.83; 0.00; 48055.36; 745186.18; 145346792.89; 0.033324
9; 1905; 253; 2158; 1106; 3264; 5454; 691; 6145; 615; 1559; 0; 5; 10024; 8556; 690; 0.2099; 0.9250; -6.0673e-02; 34083.43; 463668.44; 150694.26; 1.1667; 558; 244; 1244; 44; 19; 12; 969; 715; 0; 11; 0.7937; -1.9674e-01; 612.62; 1770.16; 555.73; 1.2727; 1866; 712; 22; 0.0326; 833; 5; 2; 0; 0; 318236.68; 0.00; 0.00; 318236.68; 145277357.45; 0.032803
10; 1908; 251; 2159; 1111; 3270; 5448; 693; 6141; 615; 1559; 0; 5; 10026; 8556; 689; 0.2104; 0.8392; -1.0322e-01; 33217.51; 463196.26; 169655.02; 2.3571; 546; 245; 1260; 29; 19; 14; 956; 733; 1; 9; 0.7399; -2.2531e-01; 612.81; 1775.25; 420.75; 1.5385; 1871; 702; 13; 0.0315; 840; 8; 4; 0; 1; 772983.33; 0.00; 46842.00; 819825.33; 145308457.63; 0.032237
11; 1899; 251; 2150; 1122; 3272; 5441; 692; 6133; 618; 1561; 0; 5; 10023; 8556; 683; 0.2110; 0.8353; -1.3351e-01; 32305.51; 460071.28; 198816.93; 3.3750; 529; 243; 1281; 39; 21; 16; 996; 767; 3; 8; 0.7745; -2.3065e-01; 614.12; 1763.04; 595.92; 3.7143; 1888; 704; 21; 0.0307; 845; 3; 3; 0; 3; 742734.77; 0.00; 151306.66; 894041.43; 145843534.20; 0.032902
12; 1882; 253; 2135; 1139; 3274; 5436; 693; 6129; 620; 1566; 1; 5; 10023; 8556; 668; 0.2112; 0.8623; -1.5245e-01; 28873.37; 457775.03; 144648.02; 1.9231; 528; 240; 1299; 37; 24; 13; 1046; 780; 2; 9; 0.7856; -2.3829e-01; 615.04; 1623.57; 514.41; 1.2991; 1955; 775; 107; 0.0300; 848; 2; 1; 0; 2; 206407.66; 0.00; 109309.59; 315717.25; 145879581.22; 0.033001
13; 1881; 250; 2131; 1150; 3281; 5432; 692; 6124; 621; 1563; 1; 5; 10026; 8556; 661; 0.2117; 0.7891; -1.7029e-01; 27129.31; 455681.04; 175026.26; 3.2500; 504; 238; 1319; 33; 27; 8; 1038; 789; 3; 5; 0.7941; -2.0146e-01; 616.65; 1659.27; 541.23; 1.0000; 1948; 743; 82; 0.0296; 850; 3; 3; 0; 1; 739319.04; 0.00; 72822.26; 812141.30; 146311325.45; 0.032233
14; 1871; 248; 2119; 1166; 3285; 5421; 695; 6116; 623; 1566; 1; 5; 10024; 8556; 651; 0.2124; 0.7765; -1.7604e-01; 26243.92; 450702.42; 142220.47; 1.4000; 501; 238; 1355; 47; 35; 10; 1066; 816; 3; 6; 0.8164; -1.8116e-01; 618.14; 1630.85; 509.64; 1.4433; 1954; 748; 97; 0.0293; 856; 4; 4; 0; 2; 413333.95; 0.00; 282160.52; 695494.47; 146729760.70; 0.032892
15; 1870; 245; 2115; 1178; 3293; 5411; 691; 6102; 627; 1563; 1; 5; 10022; 8556; 649; 0.2135; 0.6769; -2.3140e-01; 26381.86; 450997.67; 185193.03; 4.3750; 490; 233; 1371; 30; 38; 8; 1081; 828; 3; 5; 0.8235; -1.3331e-01; 619.29; 1623.03; 524.56; 1.2500; 1960; 753; 104; 0.0294; 858; 1; 1; 0; 2; 239789.48; 0.00; 172717.88; 412507.36; 146863773.39; 0.032737
16; 1871; 242; 2113; 1190; 3303; 5403; 692; 6095; 628; 1562; 0; 5; 10026; 8556; 643; 0.2142; 0.7471; -2.3379e-01; 22318.74; 445564.64; 52559.97; 0.0000; 479; 230; 1393; 32; 40; 6; 1142; 877; 2; 4; 0.8372; -1.1239e-01; 617.78; 1600.31; 473.95; 0.9364; 1974; 753; 110; 0.0294; 862; 2; 2; 0; 2; 78502.06; 0.00; 77770.82; 156272.88; 146740780.38; 0.032361
17; 1869; 241; 2110; 1199; 3309; 5395; 691; 6086; 629; 1561; 0; 5; 10024; 8556; 642; 0.2152; 0.7561; -2.6553e-01; 22941.18; 442353.17; 150303.96; 0.6000; 473; 224; 1420; 37; 43; 5; 1114; 876; 1; 4; 0.8352; -7.7224e-02; 619.31; 1657.34; 518.26; 1.3056; 1932; 714; 72; 0.0294; 864; 2; 2; 0; 1; 269447.72; 0.00; 66097.25; 335544.97; 146795870.52; 0.032021
18; 1862; 236; 2098; 1217; 3315; 5388; 690; 6078; 629; 1555; 1; 5; 10022; 8556; 632; 0.2161; 0.7552; -2.4265e-01; 21882.80; 436939.26; 80615.98; 0.3750; 463; 219; 1454; 47; 48; 8; 1117; 875; 3; 5; 0.8372; -6.2727e-02; 620.24; 1608.10; 548.91; 1.7115; 1958; 736; 104; 0.0294; 867; 4; 4; 0; 1; 367470.34; 0.00; 60878.96; 428349.29; 146884549.23; 0.032259
19; 1862; 233; 2095; 1231; 3326; 5378; 690; 6068; 631; 1554; 2; 5; 10025; 8556; 626; 0.2170; 0.6798; -2.6732e-01; 21735.15; 433494.73; 93272.94; 0.4286; 458; 215; 1476; 32; 52; 7; 1109; 876; 2; 5; 0.8406; -3.0503e-02; 620.89; 1612.98; 541.94; 1.6526; 1947; 721; 95; 0.0296; 870; 4; 3; 0; 1; 252629.31; 0.00; 31516.42; 284145.73; 146840109.56; 0.032383
20; 1853; 227; 2080; 1248; 3328; 5370; 690; 6060; 633; 1550; 2; 5; 10021; 8556; 615; 0.2177; 0.6761; -2.6464e-01; 20981.14; 429269.54; 101901.11; 0.6000; 447; 213; 1496; 33; 57; 5; 1144; 889; 1; 4; 0.8351; 8.9858e-03; 622.82; 1613.05; 570.73; 2.2857; 1944; 713; 98; 0.0298; 872; 2; 2; 0; 1; 113779.00; 0.00; 135549.40; 249328.40; 146762092.24; 0.032191
21; 1845; 226; 2071; 1266; 3337; 5363; 687; 6050; 636; 1549; 2; 5; 10023; 8556; 604; 0.2186; 0.7072; -2.6788e-01; 20767.24; 424458.55; 107140.47; 0.8000; 443; 213; 1520; 31; 57; 5; 1157; 895; 3; 2; 0.8401; 4.3999e-02; 623.41; 1615.93; 573.82; 2.4000; 1933; 699; 95; 0.0299; 875; 1; 1; 0; 3; 84263.07; 0.00; 210732.08; 294995.16; 146771494.12; 0.032145
