profile_id,view,rank,method,samples,percent
core-minimal-10k,whole-run,1,housing.Household.getAnnualFinanceCosts,120,8.804109
core-minimal-10k,whole-run,2,java.util.TreeMap.getFirstEntry,108,7.923698
core-minimal-10k,whole-run,3,java.util.TreeMap.successor,71,5.209098
core-minimal-10k,whole-run,4,housing.HousingMarketRecord$PQComparator.XCompare,68,4.988995
core-minimal-10k,whole-run,5,org.apache.commons.math3.util.FastMath.log,63,4.622157
core-minimal-10k,whole-run,6,housing.HouseholdBehaviour.updateDesiredPurchasePrice,58,4.255319
core-minimal-10k,whole-run,7,java.util.TreeMap.getFloorEntry,58,4.255319
core-minimal-10k,whole-run,8,java.util.TreeMap.getEntryUsingComparator,54,3.961849
core-minimal-10k,whole-run,9,housing.Household.step,53,3.888481
core-minimal-10k,whole-run,10,housing.HousingMarket.matchBidsWithOffers,49,3.595011
core-minimal-10k,whole-run,11,java.util.TreeMap.put,49,3.595011
core-minimal-10k,whole-run,12,collectors.HouseholdStats.record,40,2.934703
core-minimal-10k,whole-run,13,housing.HousingMarket.clearMatches,37,2.714600
core-minimal-10k,whole-run,14,housing.Household.getNProperties,32,2.347762
core-minimal-10k,whole-run,15,org.apache.commons.math3.random.BitsStreamGenerator.nextGaussian,29,2.127660
core-minimal-10k,whole-run,16,java.util.Arrays.copyOf,25,1.834189
core-minimal-10k,whole-run,17,org.apache.commons.math3.util.FastMath.pow,25,1.834189
core-minimal-10k,whole-run,18,collectors.HousingMarketStats.preClearingRecord,22,1.614087
core-minimal-10k,whole-run,19,housing.Household.getMonthlyGrossRentalIncome,22,1.614087
core-minimal-10k,whole-run,20,java.util.TimSort.countRunAndMakeAscending,22,1.614087
core-minimal-10k,whole-run,21,collectors.HousingMarketStats.getMaxQualityForPrice,18,1.320616
core-minimal-10k,whole-run,22,org.apache.commons.math3.random.MersenneTwister.next,17,1.247249
core-minimal-10k,whole-run,23,housing.Demographics.implementDeaths,15,1.100514
core-minimal-10k,whole-run,24,housing.Demographics.updateHouseholdsPerAgeBand,13,0.953778
core-minimal-10k,whole-run,25,java.util.TimSort.binarySort,13,0.953778
core-minimal-10k,whole-run,26,java.util.TreeMap.fixAfterInsertion,13,0.953778
core-minimal-10k,whole-run,27,housing.Model.modelStep,12,0.880411
core-minimal-10k,whole-run,28,java.util.HashMap$HashIterator.nextNode,12,0.880411
core-minimal-10k,whole-run,29,java.util.TreeMap.getEntry,12,0.880411
core-minimal-10k,whole-run,30,utilities.PriorityQueue2D.removeFromUncovered,12,0.880411
core-minimal-10k,whole-run,31,housing.HouseholdBehaviour.decideToSellHome,11,0.807043
core-minimal-10k,whole-run,32,collectors.CreditSupply.postClearingRecord,10,0.733676
core-minimal-10k,whole-run,33,housing.Household.manageHouse,10,0.733676
core-minimal-10k,whole-run,34,org.apache.commons.math3.util.FastMath.cos,10,0.733676
core-minimal-10k,whole-run,35,org.apache.commons.math3.special.Gamma.invGamma1pm1,9,0.660308
core-minimal-10k,whole-run,36,org.apache.commons.math3.util.FastMath.exp,9,0.660308
core-minimal-10k,whole-run,37,housing.Bank.getMonthlyPaymentFactor,8,0.586941
core-minimal-10k,whole-run,38,java.util.TreeMap.getHigherEntry,8,0.586941
core-minimal-10k,whole-run,39,utilities.PriorityQueue2D.sortPriorities,8,0.586941
core-minimal-10k,whole-run,40,housing.Household.bidForAHome,7,0.513573
core-minimal-10k,whole-run,41,housing.HouseholdBehaviour.decideRentOrPurchase,7,0.513573
core-minimal-10k,whole-run,42,java.util.TimSort.mergeLo,7,0.513573
core-minimal-10k,whole-run,43,org.apache.commons.math3.special.Gamma.regularizedGammaP,7,0.513573
core-minimal-10k,whole-run,44,housing.Household.completeHouseRental,6,0.440205
core-minimal-10k,whole-run,45,java.util.TreeMap.deleteEntry,6,0.440205
core-minimal-10k,whole-run,46,org.apache.commons.math3.util.FastMath.sin,6,0.440205
core-minimal-10k,whole-run,47,data.Wealth.getDesiredBankBalance,5,0.366838
core-minimal-10k,whole-run,48,java.util.TreeMap.fixAfterDeletion,5,0.366838
core-minimal-10k,whole-run,49,org.apache.commons.math3.util.FastMath.sinQ,5,0.366838
core-minimal-10k,whole-run,50,collectors.HousingMarketStats.postClearingRecord,4,0.293470
core-minimal-10k,whole-run,51,housing.Government.bandedPercentage,4,0.293470
core-minimal-10k,whole-run,52,java.util.ArrayList.clear,4,0.293470
core-minimal-10k,whole-run,53,org.apache.commons.math3.util.FastMath.log1p,4,0.293470
core-minimal-10k,whole-run,54,housing.Household.getMonthlyDisposableIncome,3,0.220103
core-minimal-10k,whole-run,55,java.util.TimSort.mergeCollapse,3,0.220103
core-minimal-10k,whole-run,56,java.util.TimSort.mergeHi,3,0.220103
core-minimal-10k,whole-run,57,java.util.TreeMap.rotateLeft,3,0.220103
core-minimal-10k,whole-run,58,java.util.TreeMap.rotateRight,3,0.220103
core-minimal-10k,whole-run,59,housing.Bank.resetMonthlyCounters,2,0.146735
core-minimal-10k,whole-run,60,housing.HouseOfferRecord.getQuality,2,0.146735
core-minimal-10k,whole-run,61,housing.Household.endOfLettingAgreement,2,0.146735
core-minimal-10k,whole-run,62,housing.HousingMarketRecord$PQComparator.YCompare,2,0.146735
core-minimal-10k,whole-run,63,java.util.HashMap.removeNode,2,0.146735
core-minimal-10k,whole-run,64,java.util.TimSort.minRunLength,2,0.146735
