profile_id,view,rank,method,samples,percent
e2e-default-10k,whole-run,1,housing.Household.getAnnualFinanceCosts,246,14.428152
e2e-default-10k,whole-run,2,housing.HousingMarket.matchBidsWithOffers,117,6.862170
e2e-default-10k,whole-run,3,collectors.HouseholdStats.record,91,5.337243
e2e-default-10k,whole-run,4,housing.Household.step,88,5.161290
e2e-default-10k,whole-run,5,java.util.TreeMap.successor,87,5.102639
e2e-default-10k,whole-run,6,java.util.TreeMap.getFloorEntry,82,4.809384
e2e-default-10k,whole-run,7,housing.HouseholdBehaviour.updateDesiredPurchasePrice,72,4.222874
e2e-default-10k,whole-run,8,java.util.TreeMap.getFirstEntry,71,4.164223
e2e-default-10k,whole-run,9,org.apache.commons.math3.util.FastMath.log,64,3.753666
e2e-default-10k,whole-run,10,java.util.TreeMap.getEntryUsingComparator,49,2.873900
e2e-default-10k,whole-run,11,housing.HousingMarket.clearMatches,45,2.639296
e2e-default-10k,whole-run,12,org.apache.commons.math3.random.BitsStreamGenerator.nextGaussian,31,1.818182
e2e-default-10k,whole-run,13,java.util.TreeMap.put,26,1.524927
e2e-default-10k,whole-run,14,housing.Household.getNProperties,25,1.466276
e2e-default-10k,whole-run,15,java.io.BufferedWriter.write,25,1.466276
e2e-default-10k,whole-run,16,java.util.TimSort.countRunAndMakeAscending,25,1.466276
e2e-default-10k,whole-run,17,org.apache.commons.math3.util.FastMath.pow,25,1.466276
e2e-default-10k,whole-run,18,java.util.TimSort.binarySort,22,1.290323
e2e-default-10k,whole-run,19,java.util.TreeMap.compare,22,1.290323
e2e-default-10k,whole-run,20,housing.Demographics.implementDeaths,21,1.231672
e2e-default-10k,whole-run,21,housing.Model.modelStep,21,1.231672
e2e-default-10k,whole-run,22,utilities.PriorityQueue2D.removeFromUncovered,18,1.055718
e2e-default-10k,whole-run,23,java.util.TreeMap.getEntry,17,0.997067
e2e-default-10k,whole-run,24,java.util.TreeMap.fixAfterInsertion,16,0.938416
e2e-default-10k,whole-run,25,org.apache.commons.math3.random.MersenneTwister.next,16,0.938416
e2e-default-10k,whole-run,26,collectors.HousingMarketStats.preClearingRecord,15,0.879765
e2e-default-10k,whole-run,27,java.io.PrintWriter.format,15,0.879765
e2e-default-10k,whole-run,28,org.apache.commons.math3.util.FastMath.cos,14,0.821114
e2e-default-10k,whole-run,29,housing.Demographics.updateHouseholdsPerAgeBand,12,0.703812
e2e-default-10k,whole-run,30,housing.Household.getMonthlyGrossRentalIncome,12,0.703812
e2e-default-10k,whole-run,31,java.util.HashMap$HashIterator.nextNode,12,0.703812
e2e-default-10k,whole-run,32,java.util.TreeMap.getHigherEntry,12,0.703812
e2e-default-10k,whole-run,33,jdk.internal.math.DoubleToDecimal.toDecimal,12,0.703812
e2e-default-10k,whole-run,34,housing.HouseholdBehaviour.decideRentOrPurchase,11,0.645161
e2e-default-10k,whole-run,35,collectors.CreditSupply.postClearingRecord,10,0.586510
e2e-default-10k,whole-run,36,housing.HouseholdBehaviour.decideToSellHome,10,0.586510
e2e-default-10k,whole-run,37,java.lang.AbstractStringBuilder.charAt,10,0.586510
e2e-default-10k,whole-run,38,org.apache.commons.math3.special.Gamma.regularizedGammaP,10,0.586510
e2e-default-10k,whole-run,39,org.apache.commons.math3.util.FastMath.exp,10,0.586510
e2e-default-10k,whole-run,40,housing.Household.getMonthlyDisposableIncome,9,0.527859
e2e-default-10k,whole-run,41,housing.Household.manageHouse,9,0.527859
e2e-default-10k,whole-run,42,java.util.Formatter$FormatSpecifier.print,9,0.527859
e2e-default-10k,whole-run,43,collectors.HousingMarketStats.getMaxQualityForPrice,8,0.469208
e2e-default-10k,whole-run,44,java.lang.AbstractStringBuilder.append,8,0.469208
e2e-default-10k,whole-run,45,java.util.TreeMap.deleteEntry,8,0.469208
e2e-default-10k,whole-run,46,housing.Household.bidForAHome,6,0.351906
e2e-default-10k,whole-run,47,java.util.TreeSet.add,6,0.351906
e2e-default-10k,whole-run,48,org.apache.commons.math3.special.Gamma.invGamma1pm1,6,0.351906
e2e-default-10k,whole-run,49,housing.Government.bandedPercentage,5,0.293255
e2e-default-10k,whole-run,50,housing.Household.completeHouseRental,5,0.293255
e2e-default-10k,whole-run,51,java.io.PrintWriter.write,5,0.293255
e2e-default-10k,whole-run,52,java.util.Formatter.format,5,0.293255
e2e-default-10k,whole-run,53,java.util.TreeMap.fixAfterDeletion,5,0.293255
e2e-default-10k,whole-run,54,housing.Bank.getNPayments,4,0.234604
e2e-default-10k,whole-run,55,housing.HouseholdBehaviour.getDesiredRentPrice,4,0.234604
e2e-default-10k,whole-run,56,java.util.ArrayList.clear,4,0.234604
e2e-default-10k,whole-run,57,jdk.internal.math.FormattedFPDecimal.plainChars,4,0.234604
