# Gross non-rental income percentile (lower edge), gross non-rental income percentile (upper edge), BTL probability
0.0, 0.01, 0.0952380952380952
0.01, 0.02, 0.1034482758620689
0.02, 0.03, 0.0526315789473684
0.03, 0.04, 0.0763888888888889
0.04, 0.05, 0.0460526315789473
0.05, 0.06, 0.0522388059701492
0.06, 0.07, 0.05625
0.07, 0.08, 0.0526315789473684
0.08, 0.09, 0.0405405405405405
0.09, 0.1, 0.0507246376811594
0.1, 0.11, 0.0472972972972973
0.11, 0.12, 0.0287769784172661
0.12, 0.13, 0.0425531914893617
0.13, 0.14, 0.0238095238095238
0.14, 0.15, 0.0534351145038167
0.15, 0.16, 0.0454545454545454
0.16, 0.17, 0.0419580419580419
0.17, 0.18, 0.0348837209302325
0.18, 0.19, 0.0625
0.19, 0.2, 0.0318471337579617
0.2, 0.21, 0.05
0.21, 0.22, 0.053030303030303
0.22, 0.23, 0.0694444444444444
0.23, 0.24, 0.050632911392405
0.24, 0.25, 0.0509554140127388
0.25, 0.26, 0.0163934426229508
0.26, 0.27, 0.0773809523809523
0.27, 0.28, 0.081081081081081
0.28, 0.29, 0.0551181102362204
0.29, 0.3, 0.0508474576271186
0.3, 0.31, 0.0704225352112676
0.31, 0.32, 0.0503597122302158
0.32, 0.33, 0.0392156862745098
0.33, 0.34, 0.0264900662251655
0.34, 0.35, 0.1103448275862069
0.35, 0.36, 0.0596026490066225
0.36, 0.37, 0.0294117647058823
0.37, 0.38, 0.0822784810126582
0.38, 0.39, 0.0855263157894736
0.39, 0.4, 0.0629370629370629
0.4, 0.41, 0.056338028169014
0.41, 0.42, 0.0993377483443708
0.42, 0.43, 0.0592105263157894
0.43, 0.44, 0.0855263157894736
0.44, 0.45, 0.1045751633986928
0.45, 0.46, 0.1063829787234042
0.46, 0.47, 0.0377358490566037
0.47, 0.48, 0.1044776119402985
0.48, 0.49, 0.0769230769230769
0.49, 0.5, 0.0580645161290322
0.5, 0.51, 0.0769230769230769
0.51, 0.52, 0.074074074074074
0.52, 0.53, 0.0778443113772455
0.53, 0.54, 0.054054054054054
0.54, 0.55, 0.0482758620689655
0.55, 0.56, 0.0884353741496598
0.56, 0.57, 0.1538461538461538
0.57, 0.58, 0.1151079136690647
0.58, 0.59, 0.0718954248366013
0.59, 0.6, 0.0592592592592592
0.6, 0.61, 0.0993788819875776
0.61, 0.62, 0.1013513513513513
0.62, 0.63, 0.1448275862068965
0.63, 0.64, 0.1476510067114094
0.64, 0.65, 0.0209790209790209
0.65, 0.66, 0.0945945945945946
0.66, 0.67, 0.075
0.67, 0.68, 0.0422535211267605
0.68, 0.69, 0.0958904109589041
0.69, 0.7, 0.1125827814569536
0.7, 0.71, 0.131578947368421
0.71, 0.72, 0.1408450704225352
0.72, 0.73, 0.1582278481012658
0.73, 0.74, 0.0340136054421768
0.74, 0.75, 0.0851063829787234
0.75, 0.76, 0.0921052631578947
0.76, 0.77, 0.1088435374149659
0.77, 0.78, 0.0993377483443708
0.78, 0.79, 0.1125827814569536
0.79, 0.8, 0.14
0.8, 0.81, 0.1538461538461538
0.81, 0.82, 0.1006711409395973
0.82, 0.83, 0.1095890410958904
0.83, 0.84, 0.1103896103896103
0.84, 0.85, 0.096551724137931
0.85, 0.86, 0.1513157894736842
0.86, 0.87, 0.1292517006802721
0.87, 0.88, 0.1466666666666666
0.88, 0.89, 0.1564625850340136
0.89, 0.9, 0.1610738255033557
0.9, 0.91, 0.1409395973154362
0.91, 0.92, 0.1304347826086956
0.92, 0.93, 0.1073825503355704
0.93, 0.94, 0.1783439490445859
0.94, 0.95, 0.158273381294964
0.95, 0.96, 0.1456953642384106
0.96, 0.97, 0.174496644295302
0.97, 0.98, 0.1933333333333333
0.98, 0.99, 0.2105263157894736
0.99, 1.0, 0.24
