# Gross non-rental income percentile (lower edge), gross non-rental income percentile (upper edge), BTL probability
0.0, 0.01, 0.21232876712328766
0.01, 0.02, 0.1
0.02, 0.03, 0.05442176870748299
0.03, 0.04, 0.0763888888888889
0.04, 0.05, 0.045454545454545456
0.05, 0.06, 0.05303030303030303
0.06, 0.07, 0.05625
0.07, 0.08, 0.05263157894736842
0.08, 0.09, 0.04054054054054054
0.09, 0.1, 0.050724637681159424
0.1, 0.11, 0.0472972972972973
0.11, 0.12, 0.02877697841726619
0.12, 0.13, 0.0425531914893617
0.13, 0.14, 0.023809523809523808
0.14, 0.15, 0.05343511450381679
0.15, 0.16, 0.045454545454545456
0.16, 0.17, 0.04195804195804196
0.17, 0.18, 0.029239766081871343
0.18, 0.19, 0.0625
0.19, 0.2, 0.03184713375796178
0.2, 0.21, 0.05
0.21, 0.22, 0.05303030303030303
0.22, 0.23, 0.06944444444444445
0.23, 0.24, 0.05063291139240506
0.24, 0.25, 0.050955414012738856
0.25, 0.26, 0.01639344262295082
0.26, 0.27, 0.07738095238095238
0.27, 0.28, 0.08108108108108109
0.28, 0.29, 0.05511811023622047
0.29, 0.3, 0.05084745762711865
0.3, 0.31, 0.07042253521126761
0.31, 0.32, 0.050359712230215826
0.32, 0.33, 0.0392156862745098
0.33, 0.34, 0.026490066225165563
0.34, 0.35, 0.1103448275862069
0.35, 0.36, 0.05333333333333334
0.36, 0.37, 0.029411764705882353
0.37, 0.38, 0.08227848101265822
0.38, 0.39, 0.08552631578947369
0.39, 0.4, 0.06293706293706294
0.4, 0.41, 0.056338028169014086
0.41, 0.42, 0.09933774834437085
0.42, 0.43, 0.05921052631578947
0.43, 0.44, 0.08552631578947369
0.44, 0.45, 0.10457516339869281
0.45, 0.46, 0.10638297872340426
0.46, 0.47, 0.03773584905660377
0.47, 0.48, 0.1044776119402985
0.48, 0.49, 0.07692307692307693
0.49, 0.5, 0.05806451612903226
0.5, 0.51, 0.07692307692307693
0.51, 0.52, 0.06289308176100629
0.52, 0.53, 0.09090909090909091
0.53, 0.54, 0.05405405405405406
0.54, 0.55, 0.04827586206896552
0.55, 0.56, 0.08843537414965986
0.56, 0.57, 0.1592356687898089
0.57, 0.58, 0.10218978102189781
0.58, 0.59, 0.0718954248366013
0.59, 0.6, 0.07741935483870968
0.6, 0.61, 0.0851063829787234
0.61, 0.62, 0.10135135135135136
0.62, 0.63, 0.14482758620689656
0.63, 0.64, 0.1419753086419753
0.64, 0.65, 0.013888888888888888
0.65, 0.66, 0.0945945945945946
0.66, 0.67, 0.07586206896551724
0.67, 0.68, 0.05806451612903226
0.68, 0.69, 0.08270676691729323
0.69, 0.7, 0.13043478260869565
0.7, 0.71, 0.11267605633802817
0.71, 0.72, 0.13071895424836602
0.72, 0.73, 0.17006802721088435
0.73, 0.74, 0.034013605442176874
0.74, 0.75, 0.0851063829787234
0.75, 0.76, 0.09146341463414634
0.76, 0.77, 0.1111111111111111
0.77, 0.78, 0.1
0.78, 0.79, 0.11333333333333333
0.79, 0.8, 0.13513513513513514
0.8, 0.81, 0.15862068965517243
0.81, 0.82, 0.0945945945945946
0.82, 0.83, 0.12080536912751678
0.83, 0.84, 0.10738255033557047
0.84, 0.85, 0.087248322147651
0.85, 0.86, 0.16216216216216217
0.86, 0.87, 0.14189189189189189
0.87, 0.88, 0.12837837837837837
0.88, 0.89, 0.14666666666666667
0.89, 0.9, 0.1610738255033557
0.9, 0.91, 0.14093959731543623
0.91, 0.92, 0.13846153846153847
0.92, 0.93, 0.10738255033557047
0.93, 0.94, 0.18867924528301888
0.94, 0.95, 0.14285714285714285
0.95, 0.96, 0.1476510067114094
0.96, 0.97, 0.1888111888111888
0.97, 0.98, 0.17532467532467533
0.98, 0.99, 0.1917808219178082
0.99, 1.0, 0.18543046357615894
